+--------------+------+--------+-------+-----------+
|  series id   | year | period | value | footnotes |
+--------------+------+--------+-------+-----------+
| APU020072610 | 2021 |  M12   | 0.134 |           |
| APU020072610 | 2021 |  M11   | 0.133 |           |
| APU020072610 | 2021 |  M10   | 0.134 |           |
| APU020072610 | 2021 |  M09   | 0.140 |           |
| APU020072610 | 2021 |  M08   | 0.140 |           |
| APU020072610 | 2021 |  M07   | 0.141 |           |
| APU020072610 | 2021 |  M06   | 0.140 |           |
| APU020072610 | 2021 |  M05   | 0.132 |           |
| APU020072610 | 2021 |  M04   | 0.130 |           |
| APU020072610 | 2021 |  M03   | 0.131 |           |
| APU020072610 | 2021 |  M02   | 0.129 |           |
| APU020072610 | 2021 |  M01   | 0.129 |           |
| APU020072610 | 2020 |  M12   | 0.128 |           |
| APU020072610 | 2020 |  M11   | 0.128 |           |
| APU020072610 | 2020 |  M10   | 0.130 |           |
| APU020072610 | 2020 |  M09   | 0.137 |           |
| APU020072610 | 2020 |  M08   | 0.137 |           |
| APU020072610 | 2020 |  M07   | 0.137 |           |
| APU020072610 | 2020 |  M06   | 0.136 |           |
| APU020072610 | 2020 |  M05   | 0.129 |           |
| APU020072610 | 2020 |  M04   | 0.127 |           |
| APU020072610 | 2020 |  M03   | 0.127 |           |
| APU020072610 | 2020 |  M02   | 0.127 |           |
| APU020072610 | 2020 |  M01   | 0.127 |           |
| APU020072610 | 2019 |  M12   | 0.126 |           |
| APU020072610 | 2019 |  M11   | 0.126 |           |
| APU020072610 | 2019 |  M10   | 0.131 |           |
| APU020072610 | 2019 |  M09   | 0.136 |           |
| APU020072610 | 2019 |  M08   | 0.140 |           |
| APU020072610 | 2019 |  M07   | 0.140 |           |
| APU020072610 | 2019 |  M06   | 0.138 |           |
| APU020072610 | 2019 |  M05   | 0.131 |           |
| APU020072610 | 2019 |  M04   | 0.129 |           |
| APU020072610 | 2019 |  M03   | 0.128 |           |
| APU020072610 | 2019 |  M02   | 0.128 |           |
| APU020072610 | 2019 |  M01   | 0.129 |           |
| APU020072610 | 2018 |  M12   | 0.128 |           |
| APU020072610 | 2018 |  M11   | 0.128 |           |
| APU020072610 | 2018 |  M10   | 0.131 |           |
| APU020072610 | 2018 |  M09   | 0.137 |           |
| APU020072610 | 2018 |  M08   | 0.139 |           |
| APU020072610 | 2018 |  M07   | 0.138 |           |
| APU020072610 | 2018 |  M06   | 0.140 |           |
| APU020072610 | 2018 |  M05   | 0.132 |           |
| APU020072610 | 2018 |  M04   | 0.129 |           |
| APU020072610 | 2018 |  M03   | 0.129 |           |
| APU020072610 | 2018 |  M02   | 0.131 |           |
| APU020072610 | 2018 |  M01   | 0.129 |           |
+--------------+------+--------+-------+-----------+
