+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUURS12ASA0 | 2014 |  M12   | 258.080 |           |
| CUURS12ASA0 | 2014 |  M11   | 259.382 |           |
| CUURS12ASA0 | 2014 |  M10   | 260.500 |           |
| CUURS12ASA0 | 2014 |  M09   | 261.074 |           |
| CUURS12ASA0 | 2014 |  M08   | 261.075 |           |
| CUURS12ASA0 | 2014 |  M07   | 261.498 |           |
| CUURS12ASA0 | 2014 |  M06   | 261.350 |           |
| CUURS12ASA0 | 2014 |  M05   | 261.225 |           |
| CUURS12ASA0 | 2014 |  M04   | 259.985 |           |
| CUURS12ASA0 | 2014 |  M03   | 259.971 |           |
| CUURS12ASA0 | 2014 |  M02   | 259.019 |           |
| CUURS12ASA0 | 2014 |  M01   | 259.596 |           |
| CUURS12ASA0 | 2013 |  M12   | 257.284 |           |
| CUURS12ASA0 | 2013 |  M11   | 257.377 |           |
| CUURS12ASA0 | 2013 |  M10   | 257.069 |           |
| CUURS12ASA0 | 2013 |  M09   | 258.504 |           |
| CUURS12ASA0 | 2013 |  M08   | 257.659 |           |
| CUURS12ASA0 | 2013 |  M07   | 257.326 |           |
| CUURS12ASA0 | 2013 |  M06   | 256.911 |           |
| CUURS12ASA0 | 2013 |  M05   | 256.270 |           |
| CUURS12ASA0 | 2013 |  M04   | 255.967 |           |
| CUURS12ASA0 | 2013 |  M03   | 256.589 |           |
| CUURS12ASA0 | 2013 |  M02   | 256.234 |           |
| CUURS12ASA0 | 2013 |  M01   | 254.807 |           |
| CUURS12ASA0 | 2012 |  M12   | 253.555 |           |
| CUURS12ASA0 | 2012 |  M11   | 254.285 |           |
| CUURS12ASA0 | 2012 |  M10   | 254.277 |           |
| CUURS12ASA0 | 2012 |  M09   | 254.554 |           |
| CUURS12ASA0 | 2012 |  M08   | 253.472 |           |
| CUURS12ASA0 | 2012 |  M07   | 252.016 |           |
| CUURS12ASA0 | 2012 |  M06   | 252.406 |           |
| CUURS12ASA0 | 2012 |  M05   | 252.652 |           |
| CUURS12ASA0 | 2012 |  M04   | 252.349 |           |
| CUURS12ASA0 | 2012 |  M03   | 251.887 |           |
| CUURS12ASA0 | 2012 |  M02   | 250.285 |           |
| CUURS12ASA0 | 2012 |  M01   | 249.322 |           |
| CUURS12ASA0 | 2011 |  M12   | 248.307 |           |
| CUURS12ASA0 | 2011 |  M11   | 249.317 |           |
| CUURS12ASA0 | 2011 |  M10   | 250.051 |           |
| CUURS12ASA0 | 2011 |  M09   | 250.559 |           |
| CUURS12ASA0 | 2011 |  M08   | 250.058 |           |
| CUURS12ASA0 | 2011 |  M07   | 249.164 |           |
| CUURS12ASA0 | 2011 |  M06   | 248.505 |           |
| CUURS12ASA0 | 2011 |  M05   | 248.073 |           |
| CUURS12ASA0 | 2011 |  M04   | 246.489 |           |
| CUURS12ASA0 | 2011 |  M03   | 245.617 |           |
| CUURS12ASA0 | 2011 |  M02   | 243.832 |           |
| CUURS12ASA0 | 2011 |  M01   | 242.639 |           |
+-------------+------+--------+---------+-----------+
