RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
102001,0,United States,country,,180000.0,185000.0,185000.0,187500.0,193000.0,192500.0,189500.0,180000.0,178318.0,174000.0,170000.0,168000.0,166500.0,167500.0,166000.0,171900.0,179000.0,179000.0,177500.0,170000.0,168000.0,167000.0,170000.0,170000.0,165000.0,170000.0,166420.0,170000.0,175000.0,180000.0,179500.0,175000.0,169900.0,169000.0,170000.0,165000.0,162000.0,160280.0,162500.0,165946.0,172000.0,170000.0,168000.0,162500.0,160000.0,159400.0,159250.0,155000.0,153000.0,160000.0,165000.0,170900.0,179900.0,178000.0,175500.0,170500.0,169000.0,171000.0,172000.0,166000.0,165000.0,174900.0,179000.0,187000.0,195000.0,197000.0,193500.0,186000.0,185000.0,180000.0,185000.0,179500.0,178000.0,183000.0,187500.0,194000.0,200000.0,200000.0,199619.0,191500.0,189900.0,190000.0,190500.0,186500.0,188752.0,195000.0,200000.0,208000.0,214900.0,212000.0,209000.0,203000.0,199900.0,199897.0,204000.0,198000.0,195000.0,200500.0,209900.0,215000.0,222000.0,220000.0,218700.0,215000.0,214000.0,215000.0,214000.0,210000.0,210000.0,215000.0,221000.0,225000.0,235000.0,232900.0,230000.0,227000.0,225000.0,225000.0,225900.0,224900.0,227000.0,232000.0,235000.0,240000.0,247000.0,244000.0,240000.0,235000.0,232700.0,234900.0,233000.0,231000.0,230000.0,239900.0,245000.0,250000.0,258000.0,255000.0,253113.0,250000.0,250000.0,250000.0,250000.0,247533.0,250000.0,260000.0,260000.0,256000.0,265100.0,278000.0,280000.0,283500.0,285000.0,285500.0,285000.0,280000.0,285000.0,297900.0,310000.0,315000.0,325000.0,325000.0,325000.0,324993.0,325000.0,326000.0,325000.0,320000.0,330000.0,347500.0,360000.0,365000.0,367400.0,353000.0
394913,1,"New York, NY",msa,NY,404104.0,399900.0,400000.0,400000.0,405000.0,417000.0,420000.0,400000.0,385000.0,377500.0,373775.0,365000.0,365000.0,355250.0,350000.0,360000.0,364000.0,375000.0,377500.0,370000.0,365000.0,367500.0,353000.0,365000.0,372500.0,350000.0,362250.0,370000.0,370000.0,385000.0,400000.0,,,,362500.0,367976.0,375000.0,355000.0,365000.0,365000.0,370000.0,385000.0,380000.0,375000.0,355000.0,340000.0,340000.0,340000.0,335000.0,340000.0,350000.0,352000.0,375000.0,377000.0,370000.0,365000.0,357000.0,350000.0,350000.0,350000.0,340000.0,339500.0,335000.0,358000.0,372000.0,380000.0,390000.0,375000.0,363000.0,350000.0,354225.0,360000.0,355000.0,350000.0,349995.0,360000.0,375000.0,385000.0,390000.0,374500.0,360000.0,362500.0,360000.0,370000.0,361200.0,355000.0,360000.0,370000.0,385000.0,390000.0,393830.0,385000.0,370000.0,369900.0,372000.0,366750.0,370000.0,365000.0,365000.0,375000.0,390000.0,400000.0,402500.0,388638.0,385000.0,380000.0,375000.0,378000.0,380000.0,375000.0,385000.0,392900.0,410000.0,428000.0,419000.0,405000.0,387000.0,393580.0,390000.0,399000.0,392000.0,395000.0,399000.0,405000.0,420000.0,430000.0,425000.0,420000.0,400000.0,402500.0,397750.0,400000.0,400000.0,394750.0,395000.0,405000.0,425000.0,435000.0,425000.0,420000.0,415000.0,410000.0,415000.0,416500.0,420000.0,417500.0,425000.0,426000.0,439000.0,442000.0,450000.0,455000.0,465000.0,470000.0,467000.0,466000.0,475000.0,470000.0,485000.0,500000.0,520000.0,529000.0,530000.0,533000.0,520000.0,515000.0,515000.0,520000.0,520000.0,525000.0,545000.0,550000.0,575000.0,595000.0
753899,2,"Los Angeles, CA",msa,CA,505000.0,495000.0,500000.0,490000.0,483000.0,470000.0,450000.0,436000.0,434000.0,405500.0,410000.0,386000.0,402500.0,395000.0,390000.0,405500.0,419900.0,413000.0,405000.0,416000.0,400000.0,400000.0,395000.0,390000.0,380000.0,395000.0,390000.0,405000.0,395000.0,400000.0,395000.0,400000.0,380000.0,389000.0,383500.0,370000.0,370000.0,385000.0,382000.0,383000.0,390000.0,390000.0,375000.0,380000.0,360000.0,360000.0,355000.0,345000.0,350000.0,366000.0,380000.0,380000.0,385000.0,390000.0,390000.0,390000.0,390000.0,392750.0,409000.0,390000.0,400000.0,431000.0,460000.0,460000.0,475000.0,471000.0,469000.0,468000.0,460000.0,459000.0,470000.0,450000.0,470000.0,480000.0,485000.0,500000.0,499000.0,505000.0,509000.0,499500.0,495000.0,490000.0,490000.0,490000.0,500000.0,510000.0,522500.0,521000.0,530000.0,529000.0,527000.0,519000.0,512000.0,520000.0,525000.0,520000.0,525000.0,538500.0,550000.0,562000.0,565000.0,555000.0,560000.0,550000.0,555000.0,555000.0,548000.0,550000.0,550000.0,572500.0,580000.0,595000.0,600000.0,605000.0,600000.0,600000.0,590000.0,605000.0,595000.0,589000.0,615000.0,620000.0,625000.0,640000.0,648000.0,640000.0,640000.0,625000.0,625000.0,629000.0,609500.0,600000.0,615250.0,629000.0,640000.0,640000.0,648000.0,662000.0,642250.0,645000.0,640000.0,640000.0,649000.0,648000.0,650000.0,670000.0,655000.0,650000.0,675000.0,709000.0,720000.0,730000.0,730000.0,725000.0,725000.0,720000.0,745000.0,775000.0,800000.0,817500.0,825000.0,820000.0,825000.0,825000.0,825000.0,830000.0,845000.0,830000.0,860000.0,900000.0,925000.0,923000.0,910000.0,880000.0
394463,3,"Chicago, IL",msa,IL,238750.0,237500.0,240000.0,240550.0,250000.0,255000.0,251000.0,242500.0,230000.0,227000.0,220000.0,215000.0,212000.0,219000.0,220000.0,222000.0,225000.0,229000.0,226000.0,218000.0,210000.0,204500.0,202000.0,204800.0,195000.0,208000.0,207750.0,210000.0,220000.0,215000.0,226000.0,200000.0,202750.0,190000.0,195000.0,193000.0,189000.0,183000.0,190000.0,194000.0,202250.0,204000.0,205000.0,180000.0,174000.0,165000.0,165000.0,160000.0,152500.0,165000.0,180000.0,185000.0,202500.0,200000.0,195000.0,185000.0,168000.0,174000.0,167500.0,165000.0,154800.0,165000.0,185000.0,195000.0,217000.0,220000.0,215000.0,200000.0,192500.0,185000.0,185000.0,180000.0,171750.0,184000.0,200000.0,210000.0,226950.0,222000.0,222500.0,208750.0,195000.0,192000.0,190000.0,185000.0,183000.0,200000.0,212000.0,222000.0,228625.0,225000.0,220000.0,212500.0,204000.0,200000.0,197000.0,190000.0,186000.0,202000.0,222000.0,226500.0,231000.0,229950.0,223500.0,210000.0,208000.0,206000.0,205000.0,204000.0,199900.0,220000.0,229500.0,234900.0,241000.0,237500.0,230000.0,220000.0,216000.0,216000.0,215000.0,215000.0,217500.0,230000.0,237000.0,240000.0,248950.0,243500.0,232500.0,227000.0,222000.0,220000.0,220000.0,216750.0,220000.0,233000.0,238000.0,245000.0,250000.0,249000.0,240000.0,231500.0,230000.0,230000.0,226000.0,220000.0,225000.0,242500.0,256000.0,248000.0,250000.0,259900.0,267000.0,260000.0,265000.0,257000.0,254699.0,250000.0,249900.0,262000.0,278000.0,290000.0,291000.0,290000.0,289500.0,280000.0,278000.0,278000.0,274999.0,270000.0,275000.0,285000.0,305000.0,310000.0,325000.0,311000.0
394514,4,"Dallas, TX",msa,TX,137000.0,144500.0,143900.0,146000.0,154900.0,155500.0,150000.0,142470.0,140950.0,135000.0,133000.0,126900.0,134500.0,138000.0,137000.0,147500.0,155000.0,152000.0,152500.0,144900.0,140000.0,140000.0,137000.0,129950.0,138000.0,143900.0,148000.0,148000.0,153000.0,152950.0,154500.0,145500.0,139000.0,141000.0,145000.0,138000.0,138000.0,138000.0,140000.0,149000.0,150000.0,152000.0,152000.0,144000.0,140000.0,137500.0,145000.0,136000.0,142000.0,150000.0,153000.0,160000.0,165000.0,163000.0,160000.0,158000.0,152013.0,153000.0,155000.0,149900.0,151900.0,164750.0,172000.0,177000.0,182000.0,184500.0,178997.0,173000.0,170750.0,168000.0,170000.0,159999.0,168000.0,178250.0,179500.0,185900.0,194000.0,192000.0,190000.0,181000.0,181000.0,182950.0,186000.0,179300.0,183000.0,194500.0,200750.0,210000.0,215000.0,212500.0,209000.0,199000.0,198000.0,197000.0,203000.0,194000.0,204000.0,214000.0,216000.0,230000.0,235250.0,227050.0,228500.0,223000.0,224525.0,226000.0,225000.0,222000.0,230000.0,237500.0,243000.0,252000.0,252000.0,247000.0,250000.0,240000.0,240000.0,240000.0,245000.0,235000.0,249000.0,255000.0,259900.0,267000.0,272850.0,265000.0,260000.0,252000.0,249900.0,249900.0,251000.0,240000.0,250000.0,260000.0,261000.0,274000.0,276000.0,270500.0,270000.0,262262.0,265000.0,260000.0,265000.0,260000.0,264900.0,274000.0,280000.0,272000.0,285000.0,295000.0,295000.0,295000.0,299900.0,299900.0,295000.0,290000.0,308750.0,320000.0,330000.0,350000.0,355000.0,356000.0,355000.0,350000.0,355000.0,352500.0,360000.0,355000.0,369000.0,388000.0,415000.0,425000.0,421500.0,410000.0
394692,5,"Houston, TX",msa,TX,143000.0,143000.0,143000.0,149425.0,153000.0,154000.0,153000.0,149900.0,136000.0,130000.0,128000.0,124900.0,127425.0,138625.0,142000.0,148988.0,157500.0,158970.0,155950.0,151000.0,143900.0,143000.0,139975.0,137389.0,137000.0,145467.0,147590.0,145900.0,152000.0,152000.0,150750.0,145000.0,141500.0,142950.0,150000.0,134000.0,138000.0,145000.0,139500.0,147500.0,155000.0,150000.0,151250.0,145000.0,142450.0,142500.0,147000.0,131250.0,131397.0,145000.0,153500.0,157000.0,165000.0,160000.0,153500.0,151500.0,152000.0,155000.0,155000.0,144500.0,147000.0,160000.0,167500.0,172000.0,180000.0,179900.0,175000.0,174900.0,166825.0,166000.0,169900.0,163000.0,168500.0,170000.0,177500.0,180000.0,187630.0,188500.0,195000.0,185000.0,180000.0,180000.0,187500.0,180000.0,181250.0,190000.0,191000.0,204000.0,208000.0,205000.0,201000.0,191000.0,189000.0,183000.0,193000.0,186000.0,186200.0,194500.0,200000.0,210000.0,215000.0,216000.0,209670.0,205000.0,200000.0,205000.0,207000.0,197000.0,200000.0,212500.0,214000.0,220000.0,225000.0,220000.0,217000.0,217500.0,210000.0,210000.0,210000.0,204800.0,211000.0,217000.0,226900.0,230000.0,230000.0,230000.0,225000.0,219900.0,219900.0,218000.0,222000.0,212000.0,217500.0,227000.0,230000.0,239000.0,242000.0,238000.0,235400.0,229900.0,225000.0,230000.0,234900.0,223350.0,230000.0,235000.0,239900.0,235000.0,250000.0,260000.0,259900.0,255000.0,257000.0,260000.0,264500.0,253000.0,265000.0,283900.0,289000.0,300000.0,310000.0,301340.0,300000.0,294900.0,295000.0,305000.0,308000.0,299000.0,315000.0,320000.0,333000.0,349000.0,347000.0,340000.0
395209,6,"Washington, DC",msa,VA,350000.0,350000.0,352500.0,365000.0,362750.0,375000.0,360000.0,330000.0,310000.0,309000.0,299900.0,310600.0,290000.0,295000.0,300000.0,312500.0,320000.0,335000.0,325000.0,303000.0,295000.0,290000.0,290000.0,277500.0,275300.0,284000.0,310000.0,311529.0,315000.0,340000.0,315920.0,319000.0,317305.0,320000.0,319000.0,293250.0,309925.0,310000.0,320000.0,345000.0,340000.0,350000.0,338000.0,324000.0,299950.0,307500.0,300500.0,290000.0,290000.0,318000.0,330450.0,355000.0,360000.0,363500.0,345000.0,330000.0,323000.0,330000.0,329000.0,320000.0,315000.0,340000.0,355000.0,375000.0,385000.0,381500.0,370000.0,350000.0,349900.0,345000.0,349900.0,335000.0,335000.0,345750.0,359900.0,390000.0,385000.0,390000.0,375000.0,350000.0,356000.0,350000.0,365125.0,340000.0,350000.0,367250.0,375000.0,390000.0,385000.0,380000.0,365000.0,360000.0,355000.0,350000.0,352000.0,342312.0,350275.0,350000.0,375000.0,390000.0,385000.0,385000.0,375000.0,360000.0,360000.0,350000.0,365000.0,353000.0,350000.0,360000.0,385000.0,399000.0,399000.0,400000.0,385000.0,369000.0,369900.0,365000.0,380000.0,360500.0,363000.0,385000.0,400000.0,410000.0,409250.0,405000.0,399500.0,380000.0,375000.0,380000.0,389900.0,370000.0,380000.0,399000.0,400000.0,419000.0,419000.0,415000.0,406000.0,391900.0,390000.0,405000.0,402000.0,375000.0,400000.0,425000.0,433000.0,429900.0,430000.0,453613.0,450000.0,440000.0,443750.0,439000.0,440000.0,416000.0,415000.0,450000.0,475000.0,500000.0,497000.0,495000.0,485000.0,465000.0,472000.0,468000.0,473000.0,438000.0,455000.0,498000.0,530000.0,545000.0,535000.0,521000.0
394856,7,"Miami, FL",msa,FL,245000.0,245000.0,245000.0,245000.0,250000.0,250000.0,250000.0,225000.0,222000.0,212750.0,210000.0,188000.0,189000.0,180500.0,170000.0,175000.0,186000.0,194000.0,180000.0,180000.0,169000.0,169500.0,170000.0,160000.0,157500.0,160000.0,153000.0,164000.0,169000.0,160000.0,164000.0,156500.0,157000.0,155000.0,150000.0,145000.0,144450.0,133500.0,145000.0,154200.0,155000.0,152000.0,150000.0,144000.0,140000.0,142000.0,144000.0,139900.0,140100.0,140000.0,147000.0,156000.0,165000.0,165000.0,163000.0,163400.0,160000.0,165000.0,168000.0,160000.0,160000.0,165000.0,178000.0,187213.0,199000.0,200000.0,204000.0,195000.0,187000.0,195000.0,197000.0,189000.0,185000.0,197000.0,199700.0,220000.0,225000.0,230000.0,220000.0,215000.0,216000.0,219950.0,220000.0,214200.0,215000.0,220650.0,222200.0,235000.0,245000.0,240000.0,235000.0,230000.0,225000.0,222000.0,232000.0,225000.0,225000.0,230000.0,235000.0,244000.0,250000.0,250000.0,244000.0,247000.0,242000.0,240000.0,245000.0,239900.0,240000.0,246000.0,252000.0,255000.0,270000.0,265000.0,265000.0,260000.0,251000.0,255000.0,260889.0,257500.0,255000.0,265000.0,263750.0,270000.0,279000.0,270500.0,270000.0,265200.0,269900.0,274700.0,269900.0,263500.0,265000.0,278000.0,275000.0,280000.0,288500.0,290000.0,287750.0,280000.0,285000.0,290000.0,286000.0,285000.0,285000.0,300000.0,305000.0,305000.0,310000.0,320000.0,325000.0,325000.0,323000.0,325500.0,327750.0,330000.0,335000.0,338000.0,350000.0,353000.0,360000.0,364200.0,360000.0,359000.0,365000.0,367000.0,377000.0,380000.0,385000.0,400000.0,408000.0,425000.0,430000.0,428000.0
394974,8,"Philadelphia, PA",msa,PA,202000.0,210000.0,210000.0,220000.0,225000.0,232500.0,233000.0,220000.0,209000.0,210500.0,200000.0,198000.0,199000.0,197700.0,200000.0,210000.0,219000.0,220000.0,225250.0,211194.0,201000.0,200000.0,203000.0,200000.0,205000.0,200000.0,209050.0,210000.0,219000.0,230000.0,225000.0,220750.0,210000.0,207000.0,205000.0,200875.0,202000.0,193000.0,200000.0,200000.0,220675.0,224450.0,219900.0,205705.0,200000.0,197000.0,198500.0,191000.0,190000.0,185500.0,195000.0,210000.0,220000.0,225000.0,224000.0,207000.0,205000.0,205000.0,205000.0,200000.0,190000.0,195000.0,205000.0,215000.0,230000.0,235000.0,235000.0,216000.0,209900.0,205000.0,203000.0,200000.0,190000.0,198700.0,205000.0,214665.0,230000.0,230000.0,229900.0,217000.0,212350.0,210000.0,210000.0,202000.0,190000.0,199000.0,208750.0,218000.0,230000.0,230900.0,225000.0,224000.0,212000.0,209945.0,205000.0,197000.0,196250.0,200000.0,210000.0,225000.0,236750.0,235000.0,230000.0,222000.0,220000.0,215000.0,220000.0,204000.0,203000.0,210000.0,224000.0,232000.0,245000.0,242000.0,237500.0,225000.0,221500.0,220000.0,225000.0,210000.0,212000.0,222250.0,225000.0,232000.0,245000.0,245000.0,245000.0,235000.0,225000.0,229900.0,228000.0,222000.0,217000.0,230000.0,234900.0,242500.0,258000.0,263000.0,259000.0,245000.0,235900.0,242000.0,245000.0,235000.0,235000.0,245000.0,264900.0,260000.0,265000.0,275000.0,281000.0,280000.0,270000.0,272500.0,275000.0,267000.0,260000.0,265000.0,275000.0,281000.0,295000.0,305000.0,310000.0,300000.0,290000.0,290000.0,285000.0,290000.0,280000.0,281000.0,300000.0,325000.0,339900.0,335000.0
394347,9,"Atlanta, GA",msa,GA,168650.0,171000.0,172000.0,177900.0,181500.0,178000.0,173000.0,160000.0,160000.0,149900.0,146900.0,149000.0,140000.0,146400.0,145500.0,150000.0,158900.0,165000.0,158000.0,148700.0,150000.0,148600.0,145000.0,135000.0,125000.0,135000.0,145000.0,150000.0,143097.0,142000.0,134000.0,131500.0,124950.0,122500.0,130000.0,129700.0,115000.0,114900.0,125000.0,120000.0,130000.0,135000.0,138000.0,130000.0,128750.0,126500.0,120000.0,120000.0,124000.0,135000.0,150000.0,155000.0,159900.0,160000.0,149900.0,143000.0,139900.0,141300.0,150000.0,137000.0,150000.0,165250.0,170000.0,185000.0,187500.0,190000.0,179000.0,168000.0,165000.0,160000.0,169900.0,159900.0,160115.0,173400.0,183000.0,191300.0,197250.0,193000.0,184000.0,175000.0,170000.0,171900.0,175000.0,168000.0,175000.0,184500.0,191000.0,205000.0,203500.0,201500.0,190000.0,185500.0,180000.0,184000.0,188000.0,178600.0,180000.0,190000.0,200000.0,205000.0,205000.0,205000.0,193000.0,185000.0,187000.0,190000.0,187500.0,185900.0,189000.0,200000.0,209000.0,212000.0,218000.0,217000.0,210000.0,205000.0,209500.0,207035.0,212500.0,209900.0,216000.0,224500.0,232000.0,238500.0,238700.0,234900.0,225000.0,227000.0,226900.0,222650.0,225000.0,219900.0,222500.0,237185.0,240000.0,250000.0,255000.0,251250.0,244500.0,242000.0,240000.0,242000.0,245000.0,237000.0,247000.0,257000.0,265000.0,254000.0,263000.0,275000.0,275500.0,275000.0,278750.0,276400.0,277000.0,275000.0,281000.0,300000.0,315000.0,324900.0,333900.0,335000.0,325000.0,330000.0,340000.0,343250.0,340000.0,335000.0,342200.0,355950.0,371000.0,387000.0,390000.0,385000.0
