"GeoFips","GeoName","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"01001","Autauga, AL",10.8,5.5,-8.0,7.6,7.2,8.2,16.0,-4.2
"01003","Baldwin, AL",6.9,6.4,-3.2,-2.0,1.7,1.2,3.6,7.2
"01005","Barbour, AL",-0.4,-0.3,-4.0,1.3,2.8,-2.9,-1.0,15.3
"01007","Bibb, AL",4.5,10.0,1.6,-1.0,9.5,4.4,0.0,2.8
"01009","Blount, AL",-0.6,2.9,2.8,0.9,0.8,-1.7,11.5,1.6
"01011","Bullock, AL",5.4,-1.2,1.5,14.4,-3.4,0.6,10.4,-5.9
"01013","Butler, AL",1.4,8.9,-2.2,-5.9,17.6,5.8,0.2,4.3
"01015","Calhoun, AL",3.4,5.7,2.8,-3.3,5.4,-3.1,1.6,-1.6
"01017","Chambers, AL",-2.5,1.7,-12.0,-2.2,8.7,11.2,0.1,6.5
"01019","Cherokee, AL",6.7,7.4,5.0,-6.3,7.3,3.9,5.5,9.5
"01021","Chilton, AL",4.9,3.9,-4.3,0.9,3.2,9.6,6.0,7.5
"01023","Choctaw, AL",11.7,-13.4,0.7,-33.7,9.6,14.2,22.1,3.9
"01025","Clarke, AL",8.4,1.3,-2.0,-0.9,-2.1,3.1,6.2,7.4
"01027","Clay, AL",11.3,-13.2,-6.4,-3.9,2.4,-5.8,5.8,9.8
"01029","Cleburne, AL",-2.3,-1.9,7.0,-10.5,7.8,-2.8,11.0,6.5
"01031","Coffee, AL",0.5,7.3,4.1,3.7,3.7,-2.8,5.2,2.9
"01033","Colbert, AL",6.1,2.1,2.6,-11.3,13.3,8.9,1.1,11.9
"01035","Conecuh, AL",17.9,8.3,18.4,-26.3,-1.7,19.7,5.7,12.2
"01037","Coosa, AL",8.2,-2.1,-8.9,5.2,-1.7,5.1,-4.7,10.6
"01039","Covington, AL",3.0,2.5,0.0,1.9,7.1,-2.6,6.9,6.2
"01041","Crenshaw, AL",2.6,-4.4,0.8,-3.7,18.2,0.2,15.7,9.6
"01043","Cullman, AL",0.5,-1.6,-0.3,1.6,3.5,2.7,4.6,9.8
"01045","Dale, AL",7.8,4.1,6.2,4.9,6.2,-1.6,0.1,2.9
"01047","Dallas, AL",5.0,-1.3,-3.5,-0.3,0.6,2.4,3.6,3.1
"01049","DeKalb, AL",4.4,0.2,-1.5,-3.0,3.2,-6.7,4.3,15.1
"01051","Elmore, AL",3.6,7.2,2.1,5.6,4.3,-1.3,5.8,2.3
"01053","Escambia, AL",4.0,6.6,1.7,-14.4,2.2,2.4,2.3,5.3
"01055","Etowah, AL",0.1,2.0,0.8,2.3,1.1,2.6,-0.4,3.8
"01057","Fayette, AL",0.4,-2.2,26.8,-1.7,16.3,-5.0,0.1,-12.7
"01059","Franklin, AL",-4.4,4.5,-1.6,-0.9,5.4,10.3,4.6,5.3
"01061","Geneva, AL",1.2,6.9,2.2,-3.2,3.9,-4.7,4.9,8.3
"01063","Greene, AL",3.2,1.8,-13.2,-3.3,1.1,21.0,-13.4,3.0
"01065","Hale, AL",6.6,-7.1,-1.8,-4.4,6.4,1.7,1.7,2.8
"01067","Henry, AL",1.7,-3.3,1.0,-3.8,-1.5,6.8,0.8,11.4
"01069","Houston, AL",5.8,3.1,-2.3,1.1,0.0,2.2,3.6,6.3
"01071","Jackson, AL",2.8,1.8,-3.5,-8.2,4.4,-0.3,3.1,4.2
"01073","Jefferson, AL",2.8,2.8,1.7,-4.9,2.1,5.2,3.5,-0.3
"01075","Lamar, AL",-1.0,0.0,-5.0,-10.3,2.5,7.3,8.2,0.8
"01077","Lauderdale, AL",4.3,3.8,0.2,2.4,1.5,2.1,5.4,2.4
"01079","Lawrence, AL",-5.8,25.9,4.0,16.5,0.2,-6.3,-3.9,-7.7
"01081","Lee, AL",6.9,6.4,3.2,1.7,3.6,9.0,7.4,3.0
"01083","Limestone, AL",7.4,0.9,1.0,-1.9,7.3,4.4,5.3,4.3
"01085","Lowndes, AL",11.6,7.8,-8.3,4.1,17.3,9.9,-5.6,0.8
"01087","Macon, AL",5.0,4.4,3.1,2.2,-2.6,4.8,-0.2,9.0
"01089","Madison, AL",5.6,6.3,4.4,4.1,5.6,2.7,1.3,2.9
"01091","Marengo, AL",4.3,0.2,-4.9,6.7,0.7,-3.0,5.1,5.5
"01093","Marion, AL",2.8,-3.2,-7.9,0.8,0.5,-1.0,8.6,3.4
"01095","Marshall, AL",1.6,4.2,-2.4,-0.6,2.0,3.8,6.3,7.9
"01097","Mobile, AL",10.6,2.9,3.3,0.0,2.0,5.5,1.2,2.2
"01099","Monroe, AL",6.5,-6.5,-3.4,-6.1,-1.1,-7.1,-2.4,5.5
"01101","Montgomery, AL",5.3,2.9,-0.1,-2.1,2.5,2.0,2.2,2.0
"01103","Morgan, AL",7.5,3.6,-1.4,-2.5,2.6,-0.7,3.5,4.3
"01105","Perry, AL",3.6,0.7,7.5,-5.8,11.9,-3.1,3.2,6.0
"01107","Pickens, AL",-9.2,5.5,-6.7,6.4,1.6,-8.9,18.5,20.3
"01109","Pike, AL",5.8,6.0,5.5,-2.1,8.8,-2.8,2.6,1.1
"01111","Randolph, AL",0.9,3.1,-4.8,0.2,1.5,-10.6,9.9,18.9
"01113","Russell, AL",8.4,0.4,0.5,7.9,5.8,0.4,2.5,6.7
"01115","St. Clair, AL",2.8,4.9,2.0,-2.3,6.1,5.6,17.2,1.1
"01117","Shelby, AL",9.6,12.4,0.1,-2.6,2.0,4.4,3.2,6.7
"01119","Sumter, AL",0.2,5.4,-10.1,7.0,7.5,6.0,8.2,3.3
"01121","Talladega, AL",2.1,-1.0,-5.7,-15.0,11.7,4.0,8.3,4.8
"01123","Tallapoosa, AL",-9.8,2.8,-3.0,-4.3,13.8,7.9,5.4,-1.0
"01125","Tuscaloosa, AL",3.1,8.4,0.0,-11.3,7.6,16.9,-2.4,1.0
"01127","Walker, AL",1.0,0.6,4.5,2.2,5.2,-1.9,-4.8,0.4
"01129","Washington, AL",13.7,10.1,-5.3,10.0,9.3,-5.3,-5.0,7.5
"01131","Wilcox, AL",7.9,-3.6,-6.2,16.7,-3.6,-9.4,-0.7,12.2
"01133","Winston, AL",0.9,-5.0,-7.0,-4.8,9.1,3.8,1.9,9.6
"02013","Aleutians East Borough, AK",-0.1,11.7,9.8,6.9,-38.1,-8.8,3.0,15.0
"02016","Aleutians West Census Area, AK",-8.8,-3.3,-5.5,-1.8,-3.9,8.4,7.7,6.2
"02020","Anchorage Municipality, AK",4.4,5.1,7.1,4.6,6.2,3.6,1.8,-0.3
"02050","Bethel Census Area, AK",-0.3,1.2,0.1,8.1,8.6,11.2,3.8,4.6
"02060","Bristol Bay Borough, AK",7.2,8.3,-6.0,5.5,1.1,-2.5,-1.5,10.1
"02063","Chugach Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02066","Copper River Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02068","Denali Borough, AK",5.2,5.7,17.5,-0.9,-3.2,-3.0,2.8,28.9
"02070","Dillingham Census Area, AK",5.6,0.8,2.1,10.2,9.6,1.1,1.8,3.9
"02090","Fairbanks North Star Borough, AK",10.6,5.9,10.4,-0.8,5.2,-3.7,-3.6,-0.6
"02100","Haines Borough, AK",5.3,4.5,-1.8,5.1,3.9,0.4,-0.3,10.9
"02105","Hoonah-Angoon Census Area, AK*","(NA)","(NA)","(NA)",-2.4,12.0,7.8,18.1,11.1
"02110","Juneau City and Borough, AK",16.8,9.5,-3.4,5.3,8.8,5.2,-0.2,1.8
"02122","Kenai Peninsula Borough, AK",10.1,6.2,-1.0,-1.1,9.1,6.0,-1.5,6.2
"02130","Ketchikan Gateway Borough, AK*",4.3,11.6,4.4,5.0,1.1,3.8,0.7,4.3
"02150","Kodiak Island Borough, AK",3.2,2.8,4.6,6.8,7.7,5.4,3.2,5.0
"02158","Kusilvak Census Area, AK*",-1.6,6.2,4.7,6.8,3.3,8.4,5.9,1.0
"02164","Lake and Peninsula Borough, AK",14.3,91.5,-34.6,-19.8,6.3,6.7,4.0,5.9
"02170","Matanuska-Susitna Borough, AK",1.9,5.3,2.5,7.4,11.7,7.7,5.0,2.2
"02180","Nome Census Area, AK",4.6,21.6,12.1,-15.1,19.8,5.2,-5.7,3.1
"02185","North Slope Borough, AK",26.0,18.3,29.8,-32.4,7.0,17.4,2.1,-11.7
"02188","Northwest Arctic Borough, AK",44.0,18.8,-14.4,4.3,19.2,1.4,-15.3,1.0
"02195","Petersburg Borough, AK*","(NA)","(NA)","(NA)","(NA)",14.6,9.1,-0.2,-3.1
"02198","Prince of Wales-Hyder Census Area, AK*","(NA)","(NA)","(NA)","(NA)",12.7,8.1,3.2,13.9
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",-2.9,-1.2,7.2,"(NA)","(NA)","(NA)","(NA)","(NA)"
"02220","Sitka City and Borough, AK",3.8,3.3,1.1,6.7,7.7,6.6,3.2,6.7
"02230","Skagway Municipality, AK*","(NA)","(NA)","(NA)",-0.2,12.6,0.6,21.9,2.5
"02232","Skagway-Hoonah-Angoon Census Area, AK*",6.7,3.1,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02240","Southeast Fairbanks Census Area, AK",59.3,34.6,-7.1,6.2,12.0,0.2,-20.3,-0.1
"02261","Valdez-Cordova Census Area, AK*",14.8,16.2,-25.2,-33.2,-7.1,-1.6,176.2,28.9
"02275","Wrangell City and Borough, AK*","(NA)","(NA)","(NA)","(NA)",14.3,5.1,7.5,12.0
"02280","Wrangell-Petersburg Census Area, AK*",4.7,-0.2,-5.6,"(NA)","(NA)","(NA)","(NA)","(NA)"
"02282","Yakutat City and Borough, AK*",10.3,15.9,-9.5,-8.4,7.8,3.5,8.4,35.1
"02290","Yukon-Koyukuk Census Area, AK",9.8,24.5,-1.2,1.2,25.3,19.6,-6.6,-25.5
"04001","Apache, AZ",9.8,3.9,15.3,5.3,10.3,4.6,-4.3,2.3
"04003","Cochise, AZ",5.5,10.0,4.1,2.6,4.7,2.3,-2.5,-1.5
"04005","Coconino, AZ",7.7,12.6,0.0,-1.4,5.8,7.9,-2.2,6.3
"04007","Gila, AZ",17.5,18.0,3.4,0.1,10.2,12.8,-16.5,5.3
"04009","Graham, AZ",11.6,25.1,-5.9,-6.7,9.1,10.8,9.7,-15.8
"04011","Greenlee, AZ",34.2,10.3,22.1,-25.7,17.0,17.5,-12.1,-1.2
"04012","La Paz, AZ",-1.7,13.4,16.3,-10.4,-3.2,11.4,-9.0,9.2
"04013","Maricopa, AZ",8.4,5.1,-0.5,-7.4,0.9,3.9,5.5,2.9
"04015","Mohave, AZ",4.7,5.6,-0.4,-3.1,0.8,1.5,0.9,6.6
"04017","Navajo, AZ",4.9,5.7,1.6,0.5,0.3,6.7,-0.1,-2.3
"04019","Pima, AZ",5.4,7.2,3.5,-4.3,3.6,1.2,4.5,0.5
"04021","Pinal, AZ",9.7,22.9,6.9,-3.6,3.4,10.7,3.5,0.6
"04023","Santa Cruz, AZ",2.3,7.8,4.8,-4.0,8.1,5.6,4.0,1.4
"04025","Yavapai, AZ",10.3,3.0,5.3,-6.3,-1.9,0.9,0.9,5.9
"04027","Yuma, AZ",4.9,12.8,-5.6,-1.6,7.8,3.3,-4.6,8.9
"05001","Arkansas, AR",6.3,-1.6,6.0,9.0,-0.7,2.0,4.4,12.8
"05003","Ashley, AR",11.8,2.4,0.9,-0.6,4.6,4.7,-2.3,3.1
"05005","Baxter, AR",7.2,4.2,4.0,-5.4,3.9,2.6,-1.8,3.9
"05007","Benton, AR",6.2,3.3,1.5,-0.2,5.8,4.6,7.6,8.8
"05009","Boone, AR",7.8,1.4,1.9,-6.7,5.8,2.9,0.1,0.1
"05011","Bradley, AR",-4.9,-1.2,-7.0,-6.7,14.2,-1.8,12.5,2.4
"05013","Calhoun, AR",9.9,-2.4,19.0,1.2,-5.7,-7.4,-19.3,8.8
"05015","Carroll, AR",-1.8,-5.9,0.0,-7.6,7.7,0.7,1.4,10.5
"05017","Chicot, AR",-1.6,8.9,-4.5,6.0,1.6,11.5,7.4,-3.2
"05019","Clark, AR",-0.2,5.3,6.9,2.5,-3.3,-0.8,0.7,6.3
"05021","Clay, AR",1.7,-3.2,4.0,8.9,-1.1,-4.6,4.4,5.8
"05023","Cleburne, AR",3.2,5.2,12.0,-1.4,26.3,16.1,-5.4,5.9
"05025","Cleveland, AR",-12.6,12.9,7.0,-14.1,-0.3,-22.6,38.5,11.2
"05027","Columbia, AR",13.0,4.4,4.3,-16.5,5.3,9.6,3.4,0.8
"05029","Conway, AR",4.9,22.8,32.1,-8.1,13.2,12.7,-3.6,4.3
"05031","Craighead, AR",3.5,0.3,3.0,2.2,7.9,6.6,1.8,5.6
"05033","Crawford, AR",8.6,-0.5,1.0,1.4,6.7,0.5,2.6,3.3
"05035","Crittenden, AR",9.4,1.5,-2.0,-1.3,1.1,5.8,-2.2,9.9
"05037","Cross, AR",5.9,-7.3,1.8,-1.4,-0.2,5.7,5.5,9.1
"05039","Dallas, AR",-2.8,3.5,-1.2,-6.9,3.4,-2.6,3.2,5.2
"05041","Desha, AR",2.3,5.9,4.3,5.7,8.1,8.0,-3.9,8.9
"05043","Drew, AR",1.7,1.5,3.2,-4.0,9.6,8.1,4.0,4.0
"05045","Faulkner, AR",13.4,7.7,2.8,2.7,7.9,5.1,1.5,0.0
"05047","Franklin, AR",-0.3,4.0,2.6,-19.9,0.6,3.6,1.0,4.4
"05049","Fulton, AR",7.9,-1.9,-0.6,5.0,2.2,4.6,-1.5,1.0
"05051","Garland, AR",4.2,2.1,-1.9,1.1,4.1,8.1,1.5,0.4
"05053","Grant, AR",1.2,2.6,-3.9,4.3,4.8,1.6,9.0,6.6
"05055","Greene, AR",12.9,10.6,-3.2,-22.8,9.3,11.0,8.1,0.5
"05057","Hempstead, AR",-8.8,-11.0,-3.0,0.9,12.9,5.8,5.1,19.7
"05059","Hot Spring, AR",14.4,0.3,-2.0,0.6,-1.2,2.2,12.9,-0.7
"05061","Howard, AR",-7.7,-2.2,-1.9,-13.2,1.6,0.9,9.2,13.6
"05063","Independence, AR",0.3,-0.9,1.7,1.0,8.0,-0.9,-1.4,6.7
"05065","Izard, AR",0.5,-2.7,2.0,-3.6,4.9,3.4,17.7,6.8
"05067","Jackson, AR",9.1,-0.6,7.5,-4.8,3.5,1.9,10.6,9.1
"05069","Jefferson, AR",5.1,-2.1,3.0,1.0,4.3,1.1,1.0,4.0
"05071","Johnson, AR",-0.4,2.7,-0.5,-9.2,4.4,3.3,3.4,18.7
"05073","Lafayette, AR",-3.8,7.2,0.1,-23.6,-3.8,8.8,28.2,-0.8
"05075","Lawrence, AR",7.6,-12.7,3.6,5.9,1.3,-5.9,14.1,11.9
"05077","Lee, AR",19.4,9.4,-4.4,-9.6,5.1,48.3,-21.9,-0.9
"05079","Lincoln, AR",-0.3,6.5,-7.0,0.9,3.5,0.7,12.9,21.6
"05081","Little River, AR",10.0,10.8,20.5,2.7,-15.7,-2.4,3.3,-1.8
"05083","Logan, AR",-1.5,8.8,2.6,-21.0,4.5,-3.6,12.1,-1.1
"05085","Lonoke, AR",9.1,4.2,-1.0,5.3,3.7,-0.2,3.1,9.0
"05087","Madison, AR",-1.5,-7.1,2.6,-6.2,6.8,-6.0,18.3,8.7
"05089","Marion, AR",1.8,7.6,17.7,-8.8,9.3,9.1,-12.4,10.9
"05091","Miller, AR",2.2,1.9,-6.9,1.4,11.0,6.1,0.4,-1.5
"05093","Mississippi, AR",17.7,2.8,-5.0,-23.8,14.0,31.9,0.7,-1.5
"05095","Monroe, AR",6.9,-8.4,4.9,-1.8,13.9,13.7,-4.4,16.1
"05097","Montgomery, AR",-1.1,8.4,-6.2,-1.3,1.2,-0.4,11.1,0.0
"05099","Nevada, AR",-3.2,-5.9,-13.7,-13.5,8.2,14.5,18.7,6.7
"05101","Newton, AR",6.2,-2.2,-15.4,-3.1,12.3,2.0,0.8,2.1
"05103","Ouachita, AR",7.3,2.1,2.7,-1.9,5.9,2.0,1.6,5.8
"05105","Perry, AR",3.0,9.3,5.0,-1.9,0.0,-0.7,-1.5,8.4
"05107","Phillips, AR",1.9,7.5,-5.7,1.5,-1.4,16.4,-5.7,9.3
"05109","Pike, AR",-2.3,9.9,-3.3,-7.6,5.0,-7.9,-1.8,2.8
"05111","Poinsett, AR",6.5,-7.2,7.3,-1.0,-0.6,-2.3,4.5,8.3
"05113","Polk, AR",-2.6,3.3,3.8,-5.6,4.6,-2.1,11.3,3.7
"05115","Pope, AR",4.3,2.1,2.8,0.8,6.0,0.2,0.3,1.7
"05117","Prairie, AR",5.9,-3.9,22.6,16.9,-13.2,-13.6,9.2,18.0
"05119","Pulaski, AR",4.9,5.5,-0.6,-1.4,-1.0,3.3,1.8,2.5
"05121","Randolph, AR",0.8,0.3,-1.7,3.2,-0.7,-0.6,5.6,5.5
"05123","St. Francis, AR",-4.3,-2.3,2.6,7.0,2.9,9.2,-6.7,10.9
"05125","Saline, AR",7.5,3.9,0.3,-1.2,7.8,5.7,9.5,0.1
"05127","Scott, AR",14.5,-14.3,-0.4,-11.5,9.8,0.0,12.3,11.5
"05129","Searcy, AR",9.0,-2.0,-4.3,0.9,10.2,-2.5,-0.5,1.9
"05131","Sebastian, AR",8.8,-1.0,0.5,-7.8,4.2,5.0,-0.3,-0.8
"05133","Sevier, AR",-1.6,8.1,-5.0,-2.9,6.9,-8.8,11.1,11.9
"05135","Sharp, AR",2.2,-1.5,1.1,-1.7,1.4,5.0,2.7,9.4
"05137","Stone, AR",-2.2,2.3,-2.4,-5.1,5.8,-2.1,5.3,2.3
"05139","Union, AR",11.0,2.9,-1.4,2.8,6.9,4.1,7.0,7.0
"05141","Van Buren, AR",7.2,22.8,72.8,-5.3,18.9,24.2,-13.5,3.9
"05143","Washington, AR",4.8,-0.5,-2.3,-1.3,6.2,1.3,4.7,8.3
"05145","White, AR",5.7,2.5,23.5,1.8,9.2,3.3,-1.6,-1.8
