"GeoFips","GeoName","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020"
"01001","Autauga, AL",3.4,9.6,4.1,-2.0,2.9,-1.5,-0.5
"01003","Baldwin, AL",4.0,6.7,6.9,4.9,7.8,7.9,0.8
"01005","Barbour, AL",-4.9,-2.2,-1.4,0.8,3.2,1.8,-2.9
"01007","Bibb, AL",1.6,-1.4,3.3,3.7,3.0,10.6,4.8
"01009","Blount, AL",3.9,6.0,-6.9,8.5,6.8,-1.0,-3.0
"01011","Bullock, AL",-5.6,-1.2,9.6,2.6,5.1,7.3,3.9
"01013","Butler, AL",1.4,3.6,-1.7,5.2,6.2,2.2,-5.0
"01015","Calhoun, AL",-1.9,0.2,2.0,3.5,3.9,5.9,-2.0
"01017","Chambers, AL",0.1,6.3,3.1,1.6,3.9,2.8,0.5
"01019","Cherokee, AL",-0.5,3.2,-1.2,1.7,7.8,-0.5,-8.2
"01021","Chilton, AL",-4.2,6.0,4.7,3.9,6.5,8.8,0.1
"01023","Choctaw, AL",-1.1,-5.6,-2.4,5.2,10.9,-9.2,-3.1
"01025","Clarke, AL",-2.1,-1.4,0.6,0.5,6.6,-1.0,1.0
"01027","Clay, AL",4.4,6.4,7.5,8.1,21.4,-2.0,0.8
"01029","Cleburne, AL",7.1,2.7,-5.3,2.5,4.3,-8.5,-6.1
"01031","Coffee, AL",4.7,7.0,0.8,1.5,3.3,1.4,-2.4
"01033","Colbert, AL",-1.1,-1.4,-4.6,-1.1,7.4,-0.2,0.8
"01035","Conecuh, AL",-9.4,-18.4,2.4,4.8,-1.9,-8.7,-12.6
"01037","Coosa, AL",-5.6,6.3,6.1,-3.1,6.4,2.5,4.9
"01039","Covington, AL",1.7,0.9,0.1,5.3,2.2,-3.4,-2.9
"01041","Crenshaw, AL",-5.9,4.0,-8.4,9.4,6.6,-3.1,-11.7
"01043","Cullman, AL",0.7,7.6,-1.1,3.3,1.9,4.1,-1.0
"01045","Dale, AL",-4.0,3.8,-1.5,1.1,-1.1,2.7,-1.9
"01047","Dallas, AL",0.3,-7.3,3.1,3.0,2.1,0.0,-3.6
