GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E33001,E33002,E33003,E33004,E33005,E33006,E33007
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",2438,3814,6671,3973,939,2064,962
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",6386,10923,20544,12838,3062,7079,3791
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",3403,3562,4258,1957,665,1230,627
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",2122,2728,3407,1010,322,253,223
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",4330,5630,8763,3650,1095,1152,621
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",1608,1820,1669,708,246,416,260
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",3074,3300,3927,1547,559,669,414
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",9386,14247,21711,13097,3738,6584,3682
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",4506,6327,6749,2844,1154,1382,719
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",2683,3347,4092,1534,432,493,373
"G0100210","1990",,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,,"Chilton County",3977,5046,6770,2726,712,864,686
"G0100230","1990",,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,,"Choctaw County",2210,2272,3070,1089,329,512,324
"G0100250","1990",,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,,"Clarke County",2866,3605,5445,1889,725,1116,639
"G0100270","1990",,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,,"Clay County",1600,2399,2692,1057,283,352,276
"G0100290","1990",,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,,"Cleburne County",1747,2321,2394,877,233,271,258
"G0100310","1990",,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,,"Coffee County",3896,4626,6824,4738,1616,2769,1505
"G0100330","1990",,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,,"Colbert County",4946,7006,11110,5696,1597,2581,1375
"G0100350","1990",,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,,"Conecuh County",2141,2101,2927,903,316,372,202
"G0100370","1990",,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,,"Coosa County",1265,2050,2403,785,225,275,181
"G0100390","1990",,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,,"Covington County",5194,5094,6962,3330,1312,1460,738
"G0100410","1990",,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,,"Crenshaw County",2007,2279,2444,996,331,531,209
"G0100430","1990",,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,,"Cullman County",8267,9826,13529,6120,2762,2098,1307
