GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,I4YE001,NAME_M,I4YM001
"G0100030","2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",0.4590,"Baldwin County, Alabama",0.0273
"G0100150","2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",0.4600,"Calhoun County, Alabama",0.0220
"G0100430","2010",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",0.4730,"Cullman County, Alabama",0.0335
"G0100490","2010",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",0.4650,"DeKalb County, Alabama",0.0654
"G0100510","2010",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",0.4030,"Elmore County, Alabama",0.0252
"G0100550","2010",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",0.4490,"Etowah County, Alabama",0.0305
"G0100690","2010",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",0.4540,"Houston County, Alabama",0.0160
"G0100730","2010",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",0.4890,"Jefferson County, Alabama",0.0103
"G0100770","2010",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",0.4630,"Lauderdale County, Alabama",0.0331
"G0100810","2010",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",0.4800,"Lee County, Alabama",0.0215
"G0100830","2010",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",0.4290,"Limestone County, Alabama",0.0366
"G0100890","2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",0.4760,"Madison County, Alabama",0.0136
"G0100950","2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",0.4390,"Marshall County, Alabama",0.0224
"G0100970","2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",0.4790,"Mobile County, Alabama",0.0143
"G0101010","2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",0.4700,"Montgomery County, Alabama",0.0198
"G0101030","2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",0.4400,"Morgan County, Alabama",0.0388
"G0101150","2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",0.4030,"St. Clair County, Alabama",0.0412
"G0101170","2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",0.4260,"Shelby County, Alabama",0.0156
"G0101210","2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",0.4170,"Talladega County, Alabama",0.0239
"G0101250","2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",0.4640,"Tuscaloosa County, Alabama",0.0295
"G0101270","2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",0.4640,"Walker County, Alabama",0.0471
"G0200200","2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",0.4270,"Anchorage Municipality, Alaska",0.0158
"G0200900","2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",0.3890,"Fairbanks North Star Borough, Alaska",0.0271
"G0201700","2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",0.4200,"Matanuska-Susitna Borough, Alaska",0.0252
"G0400010","2010",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,"Apache County, Arizona",0.4510,"Apache County, Arizona",0.0278
"G0400030","2010",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,"Cochise County, Arizona",0.4300,"Cochise County, Arizona",0.0262
"G0400050","2010",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,"Coconino County, Arizona",0.4400,"Coconino County, Arizona",0.0228
"G0400130","2010",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,"Maricopa County, Arizona",0.4590,"Maricopa County, Arizona",0.0062
"G0400150","2010",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,"Mohave County, Arizona",0.4320,"Mohave County, Arizona",0.0255
"G0400170","2010",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,"Navajo County, Arizona",0.4730,"Navajo County, Arizona",0.0294
"G0400190","2010",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,"Pima County, Arizona",0.4560,"Pima County, Arizona",0.0094
"G0400210","2010",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,"Pinal County, Arizona",0.3840,"Pinal County, Arizona",0.0166
"G0400250","2010",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,"Yavapai County, Arizona",0.4410,"Yavapai County, Arizona",0.0189
"G0400270","2010",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,"Yuma County, Arizona",0.4010,"Yuma County, Arizona",0.0149
"G0500070","2010",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,"Benton County, Arkansas",0.4120,"Benton County, Arkansas",0.0169
"G0500310","2010",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,"Craighead County, Arkansas",0.5040,"Craighead County, Arkansas",0.0378
"G0500450","2010",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",0.4660,"Faulkner County, Arkansas",0.0530
"G0500510","2010",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,"Garland County, Arkansas",0.4670,"Garland County, Arkansas",0.0339
"G0500690","2010",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",0.4420,"Jefferson County, Arkansas",0.0273
"G0500850","2010",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,"Lonoke County, Arkansas",0.3840,"Lonoke County, Arkansas",0.0246
"G0501190","2010",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,"Pulaski County, Arkansas",0.4720,"Pulaski County, Arkansas",0.0176
"G0501250","2010",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,"Saline County, Arkansas",0.3950,"Saline County, Arkansas",0.0187
"G0501310","2010",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,"Sebastian County, Arkansas",0.4930,"Sebastian County, Arkansas",0.0414
"G0501430","2010",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,"Washington County, Arkansas",0.4700,"Washington County, Arkansas",0.0233
"G0501450","2010",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,"White County, Arkansas",0.4320,"White County, Arkansas",0.0318
"G0600010","2010",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,"Alameda County, California",0.4590,"Alameda County, California",0.0063
"G0600070","2010",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,"Butte County, California",0.4370,"Butte County, California",0.0176
"G0600130","2010",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,"Contra Costa County, California",0.4450,"Contra Costa County, California",0.0087
"G0600170","2010",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,"El Dorado County, California",0.4420,"El Dorado County, California",0.0206
"G0600190","2010",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,"Fresno County, California",0.4620,"Fresno County, California",0.0097
"G0600230","2010",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,"Humboldt County, California",0.4710,"Humboldt County, California",0.0281
"G0600250","2010",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,"Imperial County, California",0.4410,"Imperial County, California",0.0199
"G0600290","2010",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,"Kern County, California",0.4500,"Kern County, California",0.0085
"G0600310","2010",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,"Kings County, California",0.4370,"Kings County, California",0.0228
"G0600330","2010",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,"Lake County, California",0.4560,"Lake County, California",0.0350
"G0600370","2010",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,"Los Angeles County, California",0.4900,"Los Angeles County, California",0.0043
"G0600390","2010",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,"Madera County, California",0.4440,"Madera County, California",0.0314
"G0600410","2010",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,"Marin County, California",0.5120,"Marin County, California",0.0166
"G0600450","2010",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,"Mendocino County, California",0.4160,"Mendocino County, California",0.0254
"G0600470","2010",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,"Merced County, California",0.4890,"Merced County, California",0.0304
"G0600530","2010",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,"Monterey County, California",0.4520,"Monterey County, California",0.0147
"G0600550","2010",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,"Napa County, California",0.4700,"Napa County, California",0.0342
"G0600570","2010",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,"Nevada County, California",0.4260,"Nevada County, California",0.0235
"G0600590","2010",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,"Orange County, California",0.4530,"Orange County, California",0.0075
"G0600610","2010",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,"Placer County, California",0.4250,"Placer County, California",0.0143
"G0600650","2010",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,"Riverside County, California",0.4400,"Riverside County, California",0.0078
"G0600670","2010",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,"Sacramento County, California",0.4340,"Sacramento County, California",0.0085
"G0600710","2010",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,"San Bernardino County, California",0.4250,"San Bernardino County, California",0.0065
"G0600730","2010",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,"San Diego County, California",0.4580,"San Diego County, California",0.0067
"G0600750","2010",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,"San Francisco County, California",0.5070,"San Francisco County, California",0.0119
"G0600770","2010",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,"San Joaquin County, California",0.4360,"San Joaquin County, California",0.0150
"G0600790","2010",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,"San Luis Obispo County, California",0.4620,"San Luis Obispo County, California",0.0222
"G0600810","2010",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,"San Mateo County, California",0.4530,"San Mateo County, California",0.0119
"G0600830","2010",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,"Santa Barbara County, California",0.5030,"Santa Barbara County, California",0.0222
"G0600850","2010",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,"Santa Clara County, California",0.4520,"Santa Clara County, California",0.0068
"G0600870","2010",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,"Santa Cruz County, California",0.4600,"Santa Cruz County, California",0.0166
"G0600890","2010",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,"Shasta County, California",0.4410,"Shasta County, California",0.0209
"G0600950","2010",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,"Solano County, California",0.4050,"Solano County, California",0.0153
"G0600970","2010",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,"Sonoma County, California",0.4380,"Sonoma County, California",0.0137
"G0600990","2010",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,"Stanislaus County, California",0.4580,"Stanislaus County, California",0.0172
"G0601010","2010",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,"Sutter County, California",0.4270,"Sutter County, California",0.0233
