GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RK9M001,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
"G0100010","2005-2009",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",49584,49584,39215,8854,193,309,0,336,677,56,621,"Autauga County, Alabama",0,0,126,86,92,94,119,116,190,58,172
"G0100030","2005-2009",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",171997,171997,148799,17028,981,980,3,2366,1840,191,1649,"Baldwin County, Alabama",0,0,569,390,197,192,11,537,525,123,517
"G0100050","2005-2009",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",29663,29663,15244,13742,135,27,5,270,240,25,215,"Barbour County, Alabama",0,0,133,129,87,31,8,137,101,29,95
"G0100070","2005-2009",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",21464,21464,16372,4953,21,51,0,0,67,0,67,"Bibb County, Alabama",0,0,212,227,26,64,119,119,55,119,55
"G0100090","2005-2009",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56804,56804,53846,547,438,247,19,975,732,0,732,"Blount County, Alabama",0,0,433,227,327,234,32,430,299,119,299
"G0100110","2005-2009",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10917,10917,2668,8193,13,29,0,0,14,0,14,"Bullock County, Alabama",0,0,243,255,21,59,119,119,22,119,22
"G0100130","2005-2009",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20189,20189,11525,8328,31,118,0,0,187,0,187,"Butler County, Alabama",0,0,109,193,34,141,119,119,126,119,126
"G0100150","2005-2009",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",112969,112969,86819,22155,600,899,74,1101,1321,51,1270,"Calhoun County, Alabama",0,0,352,311,93,115,91,365,310,47,302
"G0100170","2005-2009",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34704,34704,20951,12947,57,84,0,38,627,54,573,"Chambers County, Alabama",0,0,133,161,52,18,119,52,240,64,255
"G0100190","2005-2009",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",24427,24427,22520,1373,140,43,39,152,160,51,109,"Cherokee County, Alabama",0,0,60,108,50,56,61,109,93,65,72
"G0100210","2005-2009",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",42272,42272,36641,4532,170,58,0,390,481,31,450,"Chilton County, Alabama",0,0,267,227,118,50,119,234,182,44,173
"G0100230","2005-2009",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",14229,14229,7816,6195,0,17,0,37,164,59,105,"Choctaw County, Alabama",0,0,119,184,119,27,119,65,157,69,146
"G0100250","2005-2009",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26438,26438,14594,11038,358,266,0,30,152,0,152,"Clarke County, Alabama",0,0,133,475,381,224,119,49,82,119,82
"G0100270","2005-2009",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13769,13769,11280,2014,37,0,0,109,329,0,329,"Clay County, Alabama",0,0,81,142,38,119,119,73,143,119,143
"G0100290","2005-2009",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14579,14579,13574,781,54,2,0,19,149,10,139,"Cleburne County, Alabama",0,0,148,157,59,3,119,23,88,18,86
"G0100310","2005-2009",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",46802,46802,36411,8475,352,469,17,176,902,81,821,"Coffee County, Alabama",0,0,123,96,92,92,22,90,160,50,157
"G0100330","2005-2009",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54546,54546,44462,8714,287,218,0,106,759,114,645,"Colbert County, Alabama",0,0,143,190,73,119,119,86,260,110,221
"G0100350","2005-2009",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13114,13114,7144,5808,85,0,0,0,77,0,77,"Conecuh County, Alabama",0,0,28,151,87,119,119,119,117,119,117
"G0100370","2005-2009",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",10777,10777,7144,3505,0,0,0,15,113,0,113,"Coosa County, Alabama",0,0,119,22,119,119,119,22,119,119,119
"G0100390","2005-2009",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",36688,36688,31116,4586,236,146,47,271,286,11,275,"Covington County, Alabama",0,0,145,100,97,14,52,152,129,23,123
"G0100410","2005-2009",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13687,13687,10052,2968,83,412,0,0,172,15,157,"Crenshaw County, Alabama",0,0,10,228,30,222,119,119,91,23,87
"G0100430","2005-2009",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80630,80630,77384,977,342,265,57,385,1220,181,1039,"Cullman County, Alabama",0,0,346,102,115,47,47,231,359,147,373
"G0100450","2005-2009",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",48233,48233,36127,9827,203,698,93,268,1017,43,974,"Dale County, Alabama",0,0,196,222,76,57,136,114,176,30,175
"G0100470","2005-2009",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",42748,42748,13581,28591,74,165,0,247,90,0,90,"Dallas County, Alabama",0,0,59,119,57,20,119,104,69,119,69
"G0100490","2005-2009",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",68183,68183,63861,1047,845,220,0,1343,867,152,715,"DeKalb County, Alabama",0,0,601,188,265,38,119,568,214,195,148
"G0100510","2005-2009",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",76714,76714,57662,16469,285,370,0,1014,914,27,887,"Elmore County, Alabama",0,0,180,223,89,69,119,200,286,21,284
"G0100530","2005-2009",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37561,37561,23763,11820,1365,167,19,111,316,11,305,"Escambia County, Alabama",0,0,153,92,70,18,29,141,116,18,116
"G0100550","2005-2009",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",103150,103150,85078,15094,361,563,34,625,1395,55,1340,"Etowah County, Alabama",0,0,351,379,230,58,38,296,349,61,345
"G0100570","2005-2009",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17651,17651,15137,1999,36,26,0,8,445,113,332,"Fayette County, Alabama",0,0,68,120,36,47,119,12,142,77,130
"G0100590","2005-2009",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",30847,30847,26423,1205,259,74,126,2376,384,70,314,"Franklin County, Alabama",0,0,483,129,189,64,201,473,157,91,119
"G0100610","2005-2009",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",25800,25800,22467,2680,78,84,0,102,389,53,336,"Geneva County, Alabama",0,0,104,107,58,99,119,72,100,57,76
"G0100630","2005-2009",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9112,9112,1827,7167,12,11,0,72,23,0,23,"Greene County, Alabama",0,0,119,124,19,18,119,116,29,119,29
"G0100650","2005-2009",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",17994,17994,7315,10562,24,50,0,2,41,0,41,"Hale County, Alabama",0,0,69,76,18,43,119,9,19,119,19
"G0100670","2005-2009",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",16580,16580,11189,5073,0,189,0,98,31,0,31,"Henry County, Alabama",0,0,111,199,119,183,119,93,31,119,31
"G0100690","2005-2009",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",97091,97091,69257,24509,487,856,14,841,1127,100,1027,"Houston County, Alabama",0,0,174,183,126,64,15,203,216,48,207
"G0100710","2005-2009",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",52898,52898,48551,1861,728,97,3,129,1529,13,1516,"Jackson County, Alabama",0,0,111,138,211,47,5,90,249,16,247
"G0100730","2005-2009",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",662212,662212,368598,269723,1123,8972,429,7811,5556,483,5073,"Jefferson County, Alabama",0,0,1243,575,265,295,48,1260,722,189,699
"G0100750","2005-2009",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14438,14438,12623,1735,31,0,0,6,43,0,43,"Lamar County, Alabama",0,0,26,38,34,119,119,11,35,119,35
"G0100770","2005-2009",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",88550,88550,77659,8990,159,398,0,301,1043,74,969,"Lauderdale County, Alabama",0,0,278,214,92,87,119,206,224,61,201
"G0100790","2005-2009",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",34094,34094,26723,4174,1604,64,0,159,1370,77,1293,"Lawrence County, Alabama",0,0,181,92,250,49,119,164,259,77,263
"G0100810","2005-2009",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",130669,130669,95296,30317,386,2635,134,469,1432,33,1399,"Lee County, Alabama",0,0,304,351,149,96,197,231,285,34,285
"G0100830","2005-2009",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",74076,74076,61451,9732,375,532,3,1210,773,46,727,"Limestone County, Alabama",0,0,337,209,127,33,5,351,258,50,253
"G0100850","2005-2009",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",12632,12632,3551,8923,43,3,0,38,74,0,74,"Lowndes County, Alabama",0,0,27,79,39,6,119,39,56,119,56
"G0100870","2005-2009",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",22304,22304,3458,18368,63,6,0,48,361,0,361,"Macon County, Alabama",0,0,39,161,58,20,119,42,139,119,139
"G0100890","2005-2009",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",314047,314047,222107,73908,1425,7348,252,1691,7316,585,6731,"Madison County, Alabama",0,0,506,724,203,253,63,467,819,248,772
"G0100910","2005-2009",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",21210,21210,9854,11209,17,0,0,31,99,0,99,"Marengo County, Alabama",0,0,37,92,20,119,119,39,66,119,66
"G0100930","2005-2009",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",29415,29415,27553,1093,87,35,0,278,369,0,369,"Marion County, Alabama",0,0,202,71,47,26,119,208,89,119,89
"G0100950","2005-2009",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",87925,87925,83068,1369,548,414,56,1244,1226,118,1108,"Marshall County, Alabama",0,0,444,167,179,69,61,440,240,78,237
