GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUBE001,ALW1E001,ALX5E001,ALZKE001,ALZKE002,ALZKE003,NAME_M,ALUBM001,ALW1M001,ALX5M001,ALZKM001,ALZKM002,ALZKM003
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",55380,58731,29819,23493,21397,2096,"Autauga County, Alabama",0,4410,2345,83,325,313
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",212830,58320,32626,114164,80930,33234,"Baldwin County, Alabama",0,1564,758,219,1127,1128
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",25361,32525,18473,12013,9345,2668,"Barbour County, Alabama",0,2291,942,143,313,267
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",22493,47542,20778,9185,6891,2294,"Bibb County, Alabama",0,5504,1703,68,333,328
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57681,49358,24747,24323,20847,3476,"Blount County, Alabama",0,2136,1318,67,394,393
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10248,37785,20877,4557,3521,1036,"Bullock County, Alabama",0,12122,2063,58,255,246
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19828,40688,21038,10089,6506,3583,"Butler County, Alabama",0,2858,1298,47,290,281
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",114618,47255,25345,53631,44605,9026,"Calhoun County, Alabama",0,2090,772,183,644,614
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33660,42289,22729,16988,13448,3540,"Chambers County, Alabama",0,2979,1231,75,405,392
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25903,41919,24301,16579,10737,5842,"Cherokee County, Alabama",0,2465,1383,49,445,445
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",44055,47468,24658,19781,16927,2854,"Chilton County, Alabama",0,2972,1693,60,473,465
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",12925,35892,22308,7359,5300,2059,"Choctaw County, Alabama",0,2854,1560,47,267,267
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",24128,37404,22225,12784,9090,3694,"Clarke County, Alabama",0,3257,1531,44,350,349
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13337,40845,23519,6799,5198,1601,"Clay County, Alabama",0,6518,2152,45,240,225
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14916,44741,23142,6844,5680,1164,"Cleburne County, Alabama",0,3847,1648,56,199,188
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",51662,55637,27806,23188,19924,3264,"Coffee County, Alabama",0,1849,866,63,343,342
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54771,48065,25536,26588,21880,4708,"Colbert County, Alabama",0,2746,967,64,440,431
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12394,37837,19769,7182,4553,2629,"Conecuh County, Alabama",0,3835,1499,27,274,273
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10757,38990,23694,6585,4032,2553,"Coosa County, Alabama",0,4339,2265,56,248,241
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37200,42189,23687,18976,14852,4124,"Covington County, Alabama",0,2667,832,104,376,341
