,series_id,area_name,rep_id,rep_type
613,CUURA210SA0,"Cleveland-Akron, OH",SA0,R
1329,CUUSA210SA0,"Cleveland-Akron, OH",SA0,S
1711,CUURA212SA0,"Milwaukee-Racine, WI",SA0,R
2093,CUUSA212SA0,"Milwaukee-Racine, WI",SA0,S
2627,CUURA213SA0,"Cincinnati-Hamilton, OH-KY-IN",SA0,R
3161,CUUSA213SA0,"Cincinnati-Hamilton, OH-KY-IN",SA0,S
3654,CUURA214SA0,"Kansas City, MO-KS",SA0,R
4147,CUUSA214SA0,"Kansas City, MO-KS",SA0,S
4249,CUURA311SA0,"Washington-Baltimore, DC-MD-VA-WV",SA0,R
4397,CUUSA311SA0,"Washington-Baltimore, DC-MD-VA-WV",SA0,S
5557,CUURA421SA0,"Los Angeles-Riverside-Orange County, CA",SA0,R
6756,CUUSA421SA0,"Los Angeles-Riverside-Orange County, CA",SA0,S
7202,CUURA425SA0,"Portland-Salem, OR-WA",SA0,R
7648,CUUSA425SA0,"Portland-Salem, OR-WA",SA0,S
8217,CUURD000SA0,Size Class D,SA0,R
8786,CUUSD000SA0,Size Class D,SA0,S
9355,CUURD200SA0,Midwest - Size Class D,SA0,R
9924,CUUSD200SA0,Midwest - Size Class D,SA0,S
10493,CUURD300SA0,South - Size Class D,SA0,R
11062,CUUSD300SA0,South - Size Class D,SA0,S
11164,CUURN000SA0,Size Class B/C,SA0,R
11498,CUUSN000SA0,Size Class B/C,SA0,S
11574,CUURN100SA0,Northeast - Size Class B/C,SA0,R
11908,CUUSN100SA0,Northeast - Size Class B/C,SA0,S
11984,CUURN200SA0,Midwest - Size Class B/C,SA0,R
12318,CUUSN200SA0,Midwest - Size Class B/C,SA0,S
12394,CUURN300SA0,South - Size Class B/C,SA0,R
12728,CUUSN300SA0,South - Size Class B/C,SA0,S
12804,CUURN400SA0,West - Size Class B/C,SA0,R
13138,CUUSN400SA0,West - Size Class B/C,SA0,S
13676,CUURS000SA0,Size Class A,SA0,R
14244,CUUSS000SA0,Size Class A,SA0,S
14877,CUURS100SA0,Northeast - Size Class A,SA0,R
15519,CUUSS100SA0,Northeast - Size Class A,SA0,S
16323,CUURS11ASA0,"Boston, MA",SA0,R
17127,CUUSS11ASA0,"Boston, MA",SA0,S
18399,CUURS12ASA0,"New York, NY",SA0,R
19671,CUUSS12ASA0,"New York, NY",SA0,S
20795,CUURS12BSA0,"Philadelphia, PA",SA0,R
21919,CUUSS12BSA0,"Philadelphia, PA",SA0,S
22561,CUURS200SA0,Midwest - Size Class A,SA0,R
23203,CUUSS200SA0,Midwest - Size Class A,SA0,S
24475,CUURS23ASA0,"Chicago, IL",SA0,R
25747,CUUSS23ASA0,"Chicago, IL",SA0,S
26805,CUURS23BSA0,"Detroit, MI",SA0,R
27863,CUUSS23BSA0,"Detroit, MI",SA0,S
28401,CUURS24ASA0,"Minneapolis-St.Paul, MN",SA0,R
28940,CUUSS24ASA0,"Minneapolis-St.Paul, MN",SA0,S
29553,CUURS24BSA0,"St. Louis, MO",SA0,R
30166,CUUSS24BSA0,"St. Louis, MO",SA0,S
30808,CUURS300SA0,South - Size Class A,SA0,R
31450,CUUSS300SA0,South - Size Class A,SA0,S
32185,CUURS35ASA0,"Washington, DC",SA0,R
32869,CUUSS35ASA0,"Washington, DC",SA0,S
33247,CUURS35BSA0,"Miami, FL",SA0,R
33676,CUUSS35BSA0,"Miami, FL",SA0,S
34302,CUURS35CSA0,"Atlanta, GA",SA0,R
34928,CUUSS35CSA0,"Atlanta, GA",SA0,S
35051,CUURS35DSA0,"Tampa, FL",SA0,R
35147,CUUSS35DSA0,"Tampa, FL",SA0,S
35860,CUURS35ESA0,"Baltimore, MD",SA0,R
36552,CUUSS35ESA0,"Baltimore, MD",SA0,S
36999,CUURS37ASA0,"Dallas, TX",SA0,R
37497,CUUSS37ASA0,"Dallas, TX",SA0,S
38301,CUURS37BSA0,"Houston, TX",SA0,R
39105,CUUSS37BSA0,"Houston, TX",SA0,S
39747,CUURS400SA0,West - Size Class A,SA0,R
40389,CUUSS400SA0,West - Size Class A,SA0,S
40512,CUURS48ASA0,"Phoenix, AZ",SA0,R
40548,CUUSS48ASA0,"Phoenix, AZ",SA0,S
40776,CUURS48BSA0,"Denver, CO",SA0,R
41058,CUUSS48BSA0,"Denver, CO",SA0,S
42330,CUURS49ASA0,"Los Angeles, CA",SA0,R
43602,CUUSS49ASA0,"Los Angeles, CA",SA0,S
44428,CUURS49BSA0,"San Francisco, CA",SA0,R
45254,CUUSS49BSA0,"San Francisco, CA",SA0,S
45369,CUURS49CSA0,"Riverside, CA",SA0,R
45402,CUUSS49CSA0,"Riverside, CA",SA0,S
45986,CUURS49DSA0,Seattle WA,SA0,R
46672,CUUSS49DSA0,Seattle WA,SA0,S
46948,CUURS49ESA0,"San Diego, CA",SA0,R
47224,CUUSS49ESA0,"San Diego, CA",SA0,S
47506,CUURS49FSA0,Honolulu Hawaii,SA0,R
47788,CUUSS49FSA0,Honolulu Hawaii,SA0,S
48068,CUURS49GSA0,Ankorage Alaska,SA0,R
48348,CUUSS49GSA0,Ankorage Alaska,SA0,S
