,location,coords,lat,lon,year,period,period_date,value
0,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M11,2017-11-01,224.390
1,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M09,2017-09-01,224.879
2,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M07,2017-07-01,223.529
3,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M05,2017-05-01,223.089
4,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M03,2017-03-01,222.849
5,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M01,2017-01-01,222.241
6,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M11,2016-11-01,220.777
7,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M09,2016-09-01,220.963
8,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M07,2016-07-01,222.010
9,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M05,2016-05-01,221.926
10,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M03,2016-03-01,219.970
11,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M01,2016-01-01,218.845
12,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M11,2015-11-01,219.126
13,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M09,2015-09-01,220.304
14,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M07,2015-07-01,223.368
15,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M05,2015-05-01,221.277
16,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M03,2015-03-01,220.444
17,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M01,2015-01-01,218.536
18,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M11,2014-11-01,219.992
19,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M09,2014-09-01,221.242
20,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M07,2014-07-01,222.410
21,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M05,2014-05-01,221.413
22,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M03,2014-03-01,220.962
23,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M01,2014-01-01,217.445
