,location,coords,lat,lon,year,period,period_date,value
0,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M11,2017-11-01,210.799
1,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M09,2017-09-01,211.652
2,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M07,2017-07-01,212.245
3,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M05,2017-05-01,208.846
4,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M03,2017-03-01,207.623
5,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2017,M01,2017-01-01,207.518
6,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M11,2016-11-01,205.552
7,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M09,2016-09-01,205.611
8,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M07,2016-07-01,207.335
9,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M05,2016-05-01,205.719
10,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M03,2016-03-01,204.167
11,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2016,M01,2016-01-01,203.808
12,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M11,2015-11-01,201.833
13,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M09,2015-09-01,202.895
14,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M07,2015-07-01,208.166
15,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M05,2015-05-01,203.371
16,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M03,2015-03-01,202.974
17,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2015,M01,2015-01-01,204.096
18,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M11,2014-11-01,200.750
19,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M09,2014-09-01,201.076
20,"Cleveland-Akron, OH","{'lat': 41.0691492, 'lon': -81.4951732}",41.0691492,-81.4951732,2014,M07,2014-07-01,204.765
