,GeoFips,GeoName_x,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,GeoName_y,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,state,county,GISJOIN,YEAR_x,STUSAB_x,STATE_x,STATEA_x,COUNTY_x,COUNTYA_x,GEOID_x,NAME_E_x,AL5ME001,AL5ME002,AL5ME003,AMEME001,NAME_M_x,AL5MM001,AL5MM002,AL5MM003,AMEMM001,YEAR_y,STUSAB_y,STATE_y,STATEA_y,COUNTY_y,COUNTYA_y,GEOID_y,NAME_E_y,ALUBE001,ALW1E001,ALX5E001,ALZKE001,ALZKE002,ALZKE003,NAME_M_y,ALUBM001,ALW1M001,ALX5M001,ALZKM001,ALZKM002,ALZKM003,CountyName,StateName_x,StateFIPS,CountyFIPS,MetroName_Zillow,CBSAName,CountyRegionID_Zillow,MetroRegionID_Zillow,FIPS,CBSACode,RegionID,SizeRank,RegionName,RegionType,StateName_y,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,fips_code,name,lon,lat,inf_city
0,01001,"Autauga, AL",10.8,5.5,-8.0,7.6,7.2,8.2,16.0,-4.2,"Autauga, AL",3.4,9.6,4.1,-2.0,2.9,-1.5,-0.5,1,1,G0100010,2015-2019,AL,Alabama,1,Autauga County,1,05000US01001,"Autauga County, Alabama",55380.0,54081.0,1299.0,0.4542,"Autauga County, Alabama",0.0,283.0,283.0,0.0392,2015-2019,AL,Alabama,1,Autauga County,1,05000US01001,"Autauga County, Alabama",55380,58731,29819,23493,21397,2096,"Autauga County, Alabama",0,4410,2345,83,325,313,Autauga,Alabama,1,1,"Montgomery, AL","Montgomery, AL",1524,394875.0,1001,33860.0,394875.0,146.0,"Montgomery, AL",msa,AL,142400.0,140000.0,138500.0,141750.0,158000.0,157500.0,139784.0,154450.0,152000.0,135000.0,139950.0,139500.0,147500.0,149000.0,160000.0,156000.0,168000.0,160450.0,149550.0,160000.0,145000.0,132125.0,148000.0,160968.0,157750.0,160000.0,156052.0,151000.0,159000.0,156900.0,166500.0,157500.0,151500.0,162000.0,154900.0,155000.0,140000.0,147162.0,146000.0,148250.0,157803.0,160000.0,144342.0,145000.0,155450.0,145000.0,161390.0,139000.0,145500.0,146750.0,160850.0,169000.0,170000.0,186000.0,168500.0,160500.0,172000.0,174000.0,181375.0,166750.0,182000.0,198950.0,198200.0,198450.0,204000.0,220000.0,200450.0,207000.0,190000.0,187000.0,187250.0,190000.0,185000.0,180000.0,187000.0,200000.0,200000.0,209000.0,209000.0,201250.0,191500.0,191000.0,175000.0,191000.0,177500.0,180750.0,192813.0,206500.0,191552.0,180725.0,151500.0,131500.0,135000.0,132109.0,143000.0,129950.0,129400.0,142500.0,140500.0,155000.0,155000.0,157450.0,150000.0,150000.0,137450.0,138450.0,144750.0,130000.0,123000.0,141000.0,150750.0,152500.0,156450.0,150000.0,156350.0,149000.0,139900.0,144500.0,146000.0,152200.0,139450.0,162750.0,155000.0,160000.0,156000.0,167000.0,150000.0,161500.0,148000.0,158000.0,155492.0,150000.0,150700.0,151000.0,160000.0,175000.0,168800.0,167950.0,164000.0,168200.0,160000.0,178250.0,153750.0,144950.0,149000.0,164900.0,172200.0,184950.0,194500.0,184000.0,175000.0,180500.0,184900.0,183500.0,162500.0,170000.0,170000.0,179900.0,190000.0,189900.0,208000.0,205000.0,200450.0,199999.0,199250.0,187500.0,180500.0,204000.0,190550.0,190000.0,195000.0,204000.0,217500.0,205000.0,01001,Autauga,-86.64289976,32.53514228,"Atlanta-Sandy Springs-Roswell, GA"
1,01003,"Baldwin, AL",6.9,6.4,-3.2,-2.0,1.7,1.2,3.6,7.2,"Baldwin, AL",4.0,6.7,6.9,4.9,7.8,7.9,0.8,1,3,G0100030,2015-2019,AL,Alabama,1,Baldwin County,3,05000US01003,"Baldwin County, Alabama",212830.0,204906.0,7924.0,0.4587,"Baldwin County, Alabama",0.0,889.0,889.0,0.01,2015-2019,AL,Alabama,1,Baldwin County,3,05000US01003,"Baldwin County, Alabama",212830,58320,32626,114164,80930,33234,"Baldwin County, Alabama",0,1564,758,219,1127,1128,Baldwin,Alabama,1,3,"Fairhope, AL","Daphne-Fairhope-Foley, AL",1525,394519.0,1003,19300.0,394519.0,202.0,"Daphne, AL",msa,AL,182375.0,170898.0,170500.0,211038.0,214105.0,240119.0,168476.0,170295.0,215250.0,191980.0,215199.0,180000.0,142640.0,190100.0,204800.0,225000.0,198250.0,177300.0,168156.0,185638.0,151642.0,180000.0,174616.0,160000.0,134000.0,155500.0,164956.0,151753.0,161250.0,154101.0,167500.0,160000.0,190000.0,155650.0,177000.0,149450.0,159500.0,150000.0,161050.0,162364.0,175000.0,160000.0,158950.0,152350.0,161000.0,150000.0,161000.0,143225.0,171500.0,165000.0,166000.0,172400.0,159500.0,170000.0,152500.0,159900.0,169500.0,176918.0,163500.0,147500.0,142000.0,169250.0,162000.0,180000.0,175000.0,168000.0,179500.0,154000.0,167250.0,163500.0,155000.0,178000.0,149750.0,169000.0,162500.0,175000.0,174000.0,166750.0,180533.0,166650.0,165000.0,164350.0,180000.0,181625.0,190000.0,189500.0,197365.0,200000.0,205200.0,200000.0,191500.0,189000.0,180000.0,185000.0,180200.0,185650.0,179233.0,188000.0,190062.0,186900.0,201955.0,190000.0,192500.0,196000.0,198500.0,207500.0,190000.0,186750.0,190000.0,189900.0,197450.0,208000.0,213000.0,204000.0,211000.0,208000.0,199900.0,218500.0,234000.0,200000.0,212900.0,228000.0,235000.0,218500.0,235000.0,220500.0,225000.0,224000.0,232500.0,229650.0,225000.0,233955.0,226569.0,225000.0,235000.0,260000.0,261000.0,252393.0,249000.0,238000.0,254950.0,255000.0,245000.0,250000.0,244358.0,262830.0,245000.0,235000.0,265000.0,267638.0,305000.0,269900.0,260000.0,280000.0,275000.0,269000.0,271000.0,320000.0,314900.0,299000.0,319950.0,317500.0,330750.0,315000.0,320000.0,315000.0,358000.0,328500.0,334328.0,345000.0,375000.0,360000.0,360000.0,372500.0,01003,Baldwin,-87.72274477,30.72782468,"Atlanta-Sandy Springs-Roswell, GA"
2,01005,"Barbour, AL",-0.4,-0.3,-4.0,1.3,2.8,-2.9,-1.0,15.3,"Barbour, AL",-4.9,-2.2,-1.4,0.8,3.2,1.8,-2.9,1,5,G0100050,2015-2019,AL,Alabama,1,Barbour County,5,05000US01005,"Barbour County, Alabama",25361.0,24672.0,689.0,0.4883,"Barbour County, Alabama",0.0,89.0,89.0,0.0153,2015-2019,AL,Alabama,1,Barbour County,5,05000US01005,"Barbour County, Alabama",25361,32525,18473,12013,9345,2668,"Barbour County, Alabama",0,2291,942,143,313,267,Barbour,Alabama,1,5,,,1531,,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01005,Barbour,-85.39106787,31.87009042,"Atlanta-Sandy Springs-Roswell, GA"
3,01007,"Bibb, AL",4.5,10.0,1.6,-1.0,9.5,4.4,0.0,2.8,"Bibb, AL",1.6,-1.4,3.3,3.7,3.0,10.6,4.8,1,7,G0100070,2015-2019,AL,Alabama,1,Bibb County,7,05000US01007,"Bibb County, Alabama",22493.0,22153.0,340.0,0.4487,"Bibb County, Alabama",0.0,153.0,153.0,0.0409,2015-2019,AL,Alabama,1,Bibb County,7,05000US01007,"Bibb County, Alabama",22493,47542,20778,9185,6891,2294,"Bibb County, Alabama",0,5504,1703,68,333,328,Bibb,Alabama,1,7,"Birmingham, AL","Birmingham-Hoover, AL",100,394388.0,1007,13820.0,394388.0,50.0,"Birmingham, AL",msa,AL,134000.0,139900.0,150000.0,154788.0,149950.0,160750.0,141551.0,142700.0,134900.0,137000.0,146000.0,119000.0,133000.0,150000.0,139000.0,147000.0,155950.0,160000.0,157000.0,155000.0,157750.0,147500.0,156500.0,146000.0,143100.0,145900.0,155000.0,163200.0,164000.0,153750.0,158500.0,152000.0,155000.0,161000.0,155000.0,145000.0,143750.0,150000.0,153950.0,166200.0,170000.0,154450.0,162000.0,152950.0,155000.0,147950.0,153500.0,140000.0,147000.0,155000.0,163500.0,170000.0,184900.0,185000.0,169800.0,176000.0,166700.0,170000.0,174000.0,178000.0,170000.0,197000.0,185000.0,200000.0,205000.0,208000.0,196900.0,183500.0,195000.0,189950.0,190000.0,182250.0,180000.0,175900.0,189000.0,189900.0,194500.0,189900.0,195000.0,185000.0,178000.0,175000.0,179900.0,171300.0,175000.0,185775.0,185000.0,200350.0,190000.0,188000.0,180000.0,167000.0,166000.0,157000.0,163000.0,162500.0,154900.0,171063.0,179900.0,183000.0,190000.0,179900.0,171750.0,163400.0,172000.0,169900.0,160938.0,167250.0,155000.0,166635.0,182000.0,192500.0,190750.0,177000.0,179900.0,174200.0,180000.0,172950.0,174000.0,169900.0,170000.0,185000.0,184000.0,203000.0,205000.0,198350.0,190000.0,186935.0,187000.0,184900.0,180900.0,173000.0,179500.0,193000.0,206750.0,217000.0,215000.0,203000.0,200000.0,190000.0,200000.0,200000.0,199000.0,192750.0,201500.0,225000.0,222000.0,221750.0,219500.0,220000.0,217900.0,230000.0,222000.0,227250.0,217500.0,218250.0,223450.0,230000.0,243000.0,251000.0,248910.0,244500.0,245000.0,245000.0,241900.0,245000.0,248000.0,232050.0,246000.0,258625.0,269000.0,280001.0,285000.0,270000.0,01007,Bibb,-87.12681433,32.99837607,"Atlanta-Sandy Springs-Roswell, GA"
4,01009,"Blount, AL",-0.6,2.9,2.8,0.9,0.8,-1.7,11.5,1.6,"Blount, AL",3.9,6.0,-6.9,8.5,6.8,-1.0,-3.0,1,9,G0100090,2015-2019,AL,Alabama,1,Blount County,9,05000US01009,"Blount County, Alabama",57681.0,55062.0,2619.0,0.457,"Blount County, Alabama",0.0,242.0,242.0,0.0231,2015-2019,AL,Alabama,1,Blount County,9,05000US01009,"Blount County, Alabama",57681,49358,24747,24323,20847,3476,"Blount County, Alabama",0,2136,1318,67,394,393,Blount,Alabama,1,9,"Birmingham, AL","Birmingham-Hoover, AL",883,394388.0,1009,13820.0,394388.0,50.0,"Birmingham, AL",msa,AL,134000.0,139900.0,150000.0,154788.0,149950.0,160750.0,141551.0,142700.0,134900.0,137000.0,146000.0,119000.0,133000.0,150000.0,139000.0,147000.0,155950.0,160000.0,157000.0,155000.0,157750.0,147500.0,156500.0,146000.0,143100.0,145900.0,155000.0,163200.0,164000.0,153750.0,158500.0,152000.0,155000.0,161000.0,155000.0,145000.0,143750.0,150000.0,153950.0,166200.0,170000.0,154450.0,162000.0,152950.0,155000.0,147950.0,153500.0,140000.0,147000.0,155000.0,163500.0,170000.0,184900.0,185000.0,169800.0,176000.0,166700.0,170000.0,174000.0,178000.0,170000.0,197000.0,185000.0,200000.0,205000.0,208000.0,196900.0,183500.0,195000.0,189950.0,190000.0,182250.0,180000.0,175900.0,189000.0,189900.0,194500.0,189900.0,195000.0,185000.0,178000.0,175000.0,179900.0,171300.0,175000.0,185775.0,185000.0,200350.0,190000.0,188000.0,180000.0,167000.0,166000.0,157000.0,163000.0,162500.0,154900.0,171063.0,179900.0,183000.0,190000.0,179900.0,171750.0,163400.0,172000.0,169900.0,160938.0,167250.0,155000.0,166635.0,182000.0,192500.0,190750.0,177000.0,179900.0,174200.0,180000.0,172950.0,174000.0,169900.0,170000.0,185000.0,184000.0,203000.0,205000.0,198350.0,190000.0,186935.0,187000.0,184900.0,180900.0,173000.0,179500.0,193000.0,206750.0,217000.0,215000.0,203000.0,200000.0,190000.0,200000.0,200000.0,199000.0,192750.0,201500.0,225000.0,222000.0,221750.0,219500.0,220000.0,217900.0,230000.0,222000.0,227250.0,217500.0,218250.0,223450.0,230000.0,243000.0,251000.0,248910.0,244500.0,245000.0,245000.0,241900.0,245000.0,248000.0,232050.0,246000.0,258625.0,269000.0,280001.0,285000.0,270000.0,01009,Blount,-86.5670064,33.98087061,"Atlanta-Sandy Springs-Roswell, GA"
5,01011,"Bullock, AL",5.4,-1.2,1.5,14.4,-3.4,0.6,10.4,-5.9,"Bullock, AL",-5.6,-1.2,9.6,2.6,5.1,7.3,3.9,1,11,G0100110,2015-2019,AL,Alabama,1,Bullock County,11,05000US01011,"Bullock County, Alabama",10248.0,10176.0,72.0,0.4731,"Bullock County, Alabama",0.0,65.0,65.0,0.0518,2015-2019,AL,Alabama,1,Bullock County,11,05000US01011,"Bullock County, Alabama",10248,37785,20877,4557,3521,1036,"Bullock County, Alabama",0,12122,2063,58,255,246,Bullock,Alabama,1,11,,,1567,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01011,Bullock,-85.71572943,32.10045868,"Atlanta-Sandy Springs-Roswell, GA"
6,01013,"Butler, AL",1.4,8.9,-2.2,-5.9,17.6,5.8,0.2,4.3,"Butler, AL",1.4,3.6,-1.7,5.2,6.2,2.2,-5.0,1,13,G0100130,2015-2019,AL,Alabama,1,Butler County,13,05000US01013,"Butler County, Alabama",19828.0,19675.0,153.0,0.4619,"Butler County, Alabama",0.0,77.0,77.0,0.0263,2015-2019,AL,Alabama,1,Butler County,13,05000US01013,"Butler County, Alabama",19828,40688,21038,10089,6506,3583,"Butler County, Alabama",0,2858,1298,47,290,281,Butler,Alabama,1,13,,,898,,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01013,Butler,-86.68040924,31.75252432,"Atlanta-Sandy Springs-Roswell, GA"
7,01015,"Calhoun, AL",3.4,5.7,2.8,-3.3,5.4,-3.1,1.6,-1.6,"Calhoun, AL",-1.9,0.2,2.0,3.5,3.9,5.9,-2.0,1,15,G0100150,2015-2019,AL,Alabama,1,Calhoun County,15,05000US01015,"Calhoun County, Alabama",114618.0,111567.0,3051.0,0.4633,"Calhoun County, Alabama",0.0,372.0,372.0,0.016,2015-2019,AL,Alabama,1,Calhoun County,15,05000US01015,"Calhoun County, Alabama",114618,47255,25345,53631,44605,9026,"Calhoun County, Alabama",0,2090,772,183,644,614,Calhoun,Alabama,1,15,"Jacksonville, AL","Anniston-Oxford-Jacksonville, AL",1569,394333.0,1015,11500.0,394333.0,355.0,"Anniston, AL",msa,AL,98375.0,122000.0,114500.0,95000.0,118750.0,106950.0,111500.0,122000.0,91825.0,84538.0,117450.0,98500.0,106800.0,109900.0,113750.0,103000.0,124000.0,112000.0,110000.0,110900.0,93331.0,93800.0,97000.0,93250.0,87500.0,114900.0,102250.0,89900.0,101000.0,100000.0,80000.0,99200.0,77500.0,95275.0,75000.0,82000.0,106200.0,82900.0,76733.0,114000.0,100000.0,109900.0,89200.0,96000.0,90250.0,86000.0,93900.0,97950.0,79500.0,96000.0,107000.0,93000.0,110000.0,103950.0,123000.0,130100.0,85000.0,90000.0,95250.0,81400.0,81000.0,91250.0,88000.0,107000.0,83889.0,84151.0,94000.0,,,,224900.0,183000.0,180250.0,165000.0,98800.0,90000.0,115000.0,117500.0,110000.0,106500.0,94950.0,87900.0,98250.0,112500.0,89900.0,103000.0,74000.0,88830.0,78500.0,107000.0,98430.0,86850.0,81000.0,95000.0,113450.0,102250.0,80360.0,95000.0,113500.0,113850.0,108000.0,116000.0,120750.0,90000.0,111300.0,114450.0,90470.0,90000.0,89900.0,84250.0,108500.0,89900.0,95500.0,109000.0,90900.0,102400.0,99700.0,83000.0,113000.0,109000.0,95000.0,109950.0,125000.0,120250.0,120000.0,105000.0,117900.0,110000.0,108000.0,119950.0,138500.0,126270.0,89900.0,97530.0,108000.0,95750.0,130000.0,118000.0,105000.0,99900.0,120000.0,115450.0,101500.0,111075.0,95000.0,110000.0,138000.0,116000.0,94000.0,116849.0,132000.0,137400.0,129700.0,133000.0,137500.0,134000.0,125000.0,125500.0,129500.0,120000.0,139900.0,151250.0,155750.0,155000.0,160000.0,155400.0,164450.0,139950.0,150000.0,150000.0,165000.0,155000.0,148950.0,159900.0,01015,Calhoun,-85.82574705,33.77141549,"Atlanta-Sandy Springs-Roswell, GA"
8,01017,"Chambers, AL",-2.5,1.7,-12.0,-2.2,8.7,11.2,0.1,6.5,"Chambers, AL",0.1,6.3,3.1,1.6,3.9,2.8,0.5,1,17,G0100170,2015-2019,AL,Alabama,1,Chambers County,17,05000US01017,"Chambers County, Alabama",33660.0,33041.0,619.0,0.423,"Chambers County, Alabama",0.0,181.0,181.0,0.0171,2015-2019,AL,Alabama,1,Chambers County,17,05000US01017,"Chambers County, Alabama",33660,42289,22729,16988,13448,3540,"Chambers County, Alabama",0,2979,1231,75,405,392,Chambers,Alabama,1,17,"Valley, AL","Valley, AL",2181,395184.0,1017,46740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01017,Chambers,-85.39168915,32.91366622,"Atlanta-Sandy Springs-Roswell, GA"
9,01019,"Cherokee, AL",6.7,7.4,5.0,-6.3,7.3,3.9,5.5,9.5,"Cherokee, AL",-0.5,3.2,-1.2,1.7,7.8,-0.5,-8.2,1,19,G0100190,2015-2019,AL,Alabama,1,Cherokee County,19,05000US01019,"Cherokee County, Alabama",25903.0,25681.0,222.0,0.4515,"Cherokee County, Alabama",0.0,95.0,95.0,0.0217,2015-2019,AL,Alabama,1,Cherokee County,19,05000US01019,"Cherokee County, Alabama",25903,41919,24301,16579,10737,5842,"Cherokee County, Alabama",0,2465,1383,49,445,445,Cherokee,Alabama,1,19,,,2187,,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01019,Cherokee,-85.60387066,34.17588713,"Atlanta-Sandy Springs-Roswell, GA"
